Bid,Difference_Bid_PTE,Winner,codmat,coduasg,Tender,ipgItem,ipgQuantidade,ipgValorMinClassif,Pre_Tender,Date,Bid_value,numprp,prgCod,Competitor,atualizado,Number_bids,especificidade,frequencia,material,Collusive_competitor_original,Collusive_competitor,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
7518508,4145685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369999,13890990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518489,4036675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369984,14000000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518509,3986675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369999,14050000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518480,3936675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369974,14100000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518477,3695725.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369972,14340950.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518451,3685685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369952,14350990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518437,3675685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369937,14360990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518416,3665695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369919,14370980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518395,3655685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369901,14380990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518385,3645785.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369885,14390890.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518366,3645685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369865,14390990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518384,3545780.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369885,14490895.0,42006,22051,05427894000114,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518344,3545685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369843,14490990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518362,3445780.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138369863,14590895.0,42006,22051,05427894000114,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
